time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z
11.33,0.992277,0.0834747,-0.0867149,-0.00123368,0.333178,-0.942386,0,0,1
11.34,0.992282,0.0842525,-0.0858964,-0.00121174,0.342359,-0.93909,0,0,1
11.35,0.992305,0.0848192,-0.0850633,-0.0011153,0.351598,-0.93567,0,0,1
11.36,0.992298,0.0857374,-0.0842258,-0.00114653,0.360769,-0.932172,0,0,1
11.37,0.99229,0.086656,-0.0833812,-0.00118239,0.369885,-0.928592,0,0,1
11.38,0.992291,0.0874396,-0.0825368,-0.00117444,0.378875,-0.924961,0,0,1
11.39,0.992292,0.0882343,-0.0816773,-0.00117105,0.387908,-0.921209,0,0,1
11.4,0.992292,0.089033,-0.0808035,-0.00117018,0.396971,-0.91734,0,0,1
11.41,0.992291,0.0898492,-0.0799135,-0.00117692,0.406079,-0.913345,0,0,1
11.42,0.992293,0.090601,-0.0790303,-0.00116611,0.414999,-0.909326,0,0,1
11.43,0.992294,0.0913649,-0.0781335,-0.00116159,0.423942,-0.905192,0,0,1
11.44,0.992306,0.092008,-0.0772246,-0.00110677,0.432895,-0.900944,0,0,1
11.45,0.992326,0.0925572,-0.0763096,-0.00101337,0.441806,-0.896608,0,0,1
11.46,0.992328,0.0932786,-0.0753895,-0.00100001,0.450663,-0.892189,0,0,1
11.47,0.992327,0.094037,-0.0744602,-0.00100686,0.459494,-0.887674,0,0,1
11.48,0.992336,0.0946778,-0.0735168,-0.000960599,0.468345,-0.883036,0,0,1
11.49,0.99235,0.0952722,-0.0725592,-0.000892948,0.477225,-0.878269,0,0,1
11.5,0.99235,0.0959934,-0.0716034,-0.000893327,0.485979,-0.873455,0,0,1
11.51,0.992351,0.0967041,-0.0706276,-0.0008886,0.4948,-0.868489,0,0,1
11.52,0.992352,0.0974164,-0.0696308,-0.000884659,0.503692,-0.863362,0,0,1
11.53,0.992346,0.0981804,-0.0686377,-0.000916354,0.512434,-0.858202,0,0,1
11.54,0.992345,0.0988792,-0.0676291,-0.000917073,0.521191,-0.852912,0,0,1
11.55,0.992358,0.0994398,-0.0666167,-0.000851017,0.529872,-0.847547,0,0,1
11.56,0.992386,0.0998367,-0.0655959,-0.000700099,0.538528,-0.842073,0,0,1
11.57,0.992415,0.100203,-0.0645925,-0.000543088,0.546948,-0.836629,0,0,1
11.58,0.992448,0.100531,-0.06356,-0.0003596,0.555526,-0.830958,0,0,1
11.59,0.992492,0.100755,-0.0625093,-0.000114524,0.564171,-0.825113,0,0,1
11.6,0.992525,0.10108,-0.0614593,6.88624e-05,0.572724,-0.819199,0,0,1
11.61,0.992561,0.101355,-0.0604078,0.000276879,0.581203,-0.813205,0,0,1
11.62,0.992595,0.101651,-0.059357,0.000467796,0.589591,-0.807145,0,0,1
11.63,0.992638,0.10183,-0.0583161,0.000721138,0.597817,-0.801071,0,0,1
11.64,0.992678,0.102026,-0.0572757,0.000959788,0.605962,-0.794927,0,0,1
