time,p00,p01,p10,p11
2.49,0,0,0.227081,0.780731
2.5,0,0,0.225533,0.78231
2.51,0,0,0.224033,0.783841
2.52,0,0,0.222581,0.785325
2.53,0,0,0.221176,0.786762
2.54,0,0,0.219819,0.78815
2.55,0,0,0.21851,0.789491
2.56,0,0,0.217249,0.790783
2.57,0,0,0.216036,0.792027
2.58,0,0,0.214872,0.793223
2.59,0,0,0.213757,0.794369
2.6,0,0,0.212691,0.795467
2.61,0,0,0.211673,0.796516
2.62,0,0,0.210705,0.797516
2.63,0,0,0.209786,0.798467
2.64,0,0,0.208916,0.799368
2.65,0,0,0.208095,0.80022
2.66,0,0,0.207325,0.801022
2.67,0,0,0.206603,0.801775
2.68,0,0,0.205932,0.802478
2.69,0,0,0.20531,0.803131
2.7,0,0,0.204739,0.803734
2.71,0,0,0.204217,0.804287
2.72,0,0,0.203746,0.80479
2.73,0,0,0.203324,0.805243
2.74,0,0,0.202953,0.805646
2.75,0,0,0.202632,0.805998
2.76,0,0,0.202362,0.806301
2.77,0,0,0.202141,0.806552
2.78,0,0,0.201971,0.806754
2.79,0,0,0.201852,0.806905
2.8,0,0,0.201783,0.807006
2.81,0,0,0.201764,0.807056
2.82,0,0,0.201796,0.807056
2.83,0,0,0.201878,0.807005
2.84,0,0,0.202011,0.806904
2.85,0,0,0.202194,0.806752
2.86,0,0,0.202427,0.80655
2.87,0,0,0.202711,0.806298
2.88,0,0,0.203045,0.805995
2.89,0,0,0.20343,0.805642
2.9,0,0,0.203864,0.805239
2.91,0,0,0.204349,0.804786
2.92,0,0,0.204885,0.804282
2.93,0,0,0.20547,0.803728
2.94,0,0,0.206105,0.803124
2.95,0,0,0.206791,0.802471
2.96,0,0,0.207526,0.801767
2.97,0,0,0.208311,0.801014
2.98,0,0,0.209146,0.80021
2.99,0,0,0.21003,0.799358
3,0,0,0.210964,0.798455
3.01,0,0,0.211947,0.797504
3.02,0,0,0.212979,0.796503
3.03,0,0,0.214061,0.795453
3.04,0,0,0.215192,0.794353
3.05,0,0,0.216371,0.793205
3.06,0,0,0.2176,0.792009
3.07,0,0,0.218877,0.790763
3.08,0,0,0.220202,0.789469
3.09,0,0,0.221575,0.788127
3.1,0,0,0.222997,0.786737
3.11,0,0,0.224467,0.785299
3.12,0,0,0.225984,0.783813
3.13,0,0,0.227549,0.78228
3.14,0,0,0.229162,0.780699
