time,p00,p01,p10,p11
3.66,0.25,0,0.0918652,0.158135
3.67,0.25,0,0.0927785,0.157222
3.68,0.25,0,0.093699,0.156301
3.69,0.25,0,0.0946265,0.155374
3.7,0.25,0,0.0955609,0.154439
3.71,0.25,0,0.0965021,0.153498
3.72,0.25,0,0.09745,0.15255
3.73,0.25,0,0.0984045,0.151596
3.74,0.25,0,0.0993654,0.150635
3.75,0.25,0,0.100333,0.149667
3.76,0.25,0,0.101306,0.148694
3.77,0.25,0,0.102286,0.147714
3.78,0.25,0,0.103271,0.146729
3.79,0.25,0,0.104263,0.145737
3.8,0.25,0,0.10526,0.14474
3.81,0.25,0,0.106262,0.143738
3.82,0.25,0,0.10727,0.14273
3.83,0.25,0,0.108284,0.141716
3.84,0.25,0,0.109303,0.140697
3.85,0.25,0,0.110326,0.139674
3.86,0.25,0,0.111355,0.138645
3.87,0.25,0,0.112389,0.137611
3.88,0.25,0,0.113427,0.136573
3.89,0.25,0,0.11447,0.13553
3.9,0.25,0,0.115517,0.134483
3.91,0.25,0,0.116569,0.133431
3.92,0.25,0,0.117624,0.132376
3.93,0.25,0,0.118684,0.131316
3.94,0.25,0,0.119748,0.130252
3.95,0.25,0,0.120816,0.129184
3.96,0.25,0,0.121887,0.128113
3.97,0.25,0,0.122961,0.127039
3.98,0.25,0,0.124039,0.125961
3.99,0.25,0,0.125121,0.124879
4,0.25,0,0.126205,0.123795
4.01,0.25,0,0.127293,0.122707
4.02,0.25,0,0.128383,0.121617
4.03,0.25,0,0.129476,0.120524
4.04,0.25,0,0.130571,0.119429
4.05,0.25,0,0.131669,0.118331
4.06,0.25,0,0.132769,0.117231
4.07,0.25,0,0.133872,0.116128
4.08,0.25,0,0.134976,0.115024
4.09,0.25,0,0.136082,0.113918
4.1,0.25,0,0.13719,0.11281
4.11,0.25,0,0.1383,0.1117
4.12,0.25,0,0.139411,0.110589
4.13,0.25,0,0.140523,0.109477
4.14,0.25,0,0.141637,0.108363
4.15,0.25,0,0.142752,0.107248
4.16,0.25,0,0.143867,0.106133
4.17,0.25,0,0.144983,0.105017
4.18,0.25,0,0.1461,0.1039
4.19,0.25,0,0.147218,0.102782
4.2,0.25,0,0.148335,0.101665
4.21,0.25,0,0.149453,0.100547
4.22,0.25,0,0.150571,0.0994286
4.23,0.25,0,0.151689,0.0983106
4.24,0.25,0,0.152807,0.0971929
4.25,0.25,0,0.153925,0.0960755
4.26,0.25,0,0.155041,0.0949586
4.27,0.25,0,0.156158,0.0938423
4.28,0.25,0,0.157273,0.0927268
4.29,0.25,0,0.158388,0.0916122
4.3,0.25,0,0.159501,0.0904986
4.31,0.25,0,0.160614,0.0893863
4.32,0.25,0,0.161725,0.0882752
4.33,0.25,0,0.162834,0.0871657
4.34,0.25,0,0.163942,0.0860577
4.35,0.25,0,0.165049,0.0849515
4.36,0.25,0,0.166153,0.0838472
4.37,0.25,0,0.167255,0.0827448
4.38,0.25,0,0.168355,0.0816447
4.39,0.25,0,0.169453,0.0805468
4.4,0.25,0,0.170549,0.0794514
4.41,0.25,0,0.171641,0.0783585
4.42,0.25,0,0.172732,0.0772683
4.43,0.25,0,0.173819,0.076181
4.44,0.25,0,0.174903,0.0750967
4.45,0.25,0,0.175985,0.0740154
4.46,0.25,0,0.177063,0.0729375
4.47,0.25,0,0.178137,0.0718629
4.48,0.25,0,0.179208,0.0707918
4.49,0.25,0,0.180276,0.0697243
4.5,0.25,0,0.181339,0.0686607
4.51,0.25,0,0.182399,0.067601
4.52,0.25,0,0.183455,0.0665453
4.53,0.25,0,0.184506,0.0654938
4.54,0.25,0,0.185553,0.0644466
4.55,0.25,0,0.186596,0.0634039
4.56,0.25,0,0.187634,0.0623657
4.57,0.25,0,0.188668,0.0613322
4.58,0.25,0,0.189696,0.0603036
4.59,0.25,0,0.19072,0.0592799
4.6,0.25,0,0.191739,0.0582614
4.61,0.25,0,0.192752,0.057248
4.62,0.25,0,0.19376,0.05624
4.63,0.25,0,0.194763,0.0552374
4.64,0.25,0,0.19576,0.0542405
4.65,0.25,0,0.196751,0.0532492
4.66,0.25,0,0.197736,0.0522639
4.67,0.25,0,0.198716,0.0512844
4.68,0.25,0,0.199689,0.0503111
4.69,0.25,0,0.200656,0.049344
4.7,0.25,0,0.201617,0.0483832
4.71,0.25,0,0.202571,0.0474289
4.72,0.25,0,0.203519,0.0464811
4.73,0.25,0,0.20446,0.04554
4.74,0.25,0,0.205394,0.0446058
4.75,0.25,0,0.206322,0.0436784
4.76,0.25,0,0.207242,0.0427581
4.77,0.25,0,0.208155,0.041845
4.78,0.25,0,0.209061,0.0409391
4.79,0.25,0,0.209959,0.0400406
4.8,0.25,0,0.21085,0.0391496
4.81,0.25,0,0.211734,0.0382662
4.82,0.25,0,0.212609,0.0373905
4.83,0.25,0,0.213477,0.0365227
4.84,0.25,0,0.214337,0.0356627
4.85,0.25,0,0.215189,0.0348109
4.86,0.25,0,0.216033,0.0339671
4.87,0.25,0,0.216868,0.0331317
4.88,0.25,0,0.217695,0.0323046
4.89,0.25,0,0.218514,0.0314859
4.9,0.25,0,0.219324,0.0306758
4.91,0.25,0,0.220126,0.0298744
4.92,0.25,0,0.220918,0.0290817
4.93,0.25,0,0.221702,0.0282979
4.94,0.25,0,0.222477,0.0275231
4.95,0.25,0,0.223243,0.0267573
4.96,0.25,0,0.223999,0.0260007
4.97,0.25,0,0.224747,0.0252534
4.98,0.25,0,0.225485,0.0245153
4.99,0.25,0,0.226213,0.0237867
5,0.25,0,0.226932,0.0230677
5.01,0.25,0,0.227642,0.0223582
5.02,0.25,0,0.228341,0.0216585
5.03,0.25,0,0.229031,0.0209686
5.04,0.25,0,0.229712,0.0202885
5.05,0.25,0,0.230382,0.0196184
5.06,0.25,0,0.231042,0.0189583
5.07,0.25,0,0.231692,0.0183084
5.08,0.25,0,0.232331,0.0176687
5.09,0.25,0,0.232961,0.0170393
