time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z
11.94,0.988065,-0.0853738,0.128214,0.0182145,-0.875842,0.482254,0,0,1,0,0,1
11.95,0.988065,-0.0853738,0.128214,0.0187453,-0.881209,0.472356,0,0,1,0,0,1
11.96,0.988065,-0.0853738,0.128214,0.0192976,-0.886223,0.462857,0,0,1,0,0,1
11.97,0.988065,-0.0853738,0.128214,0.0196777,-0.891133,0.453316,0,0,1,0,0,1
11.98,0.988065,-0.0853738,0.128214,0.0199636,-0.896063,0.443477,0,0,1,0,0,1
11.99,0.988065,-0.0853738,0.128214,0.0202349,-0.901263,0.432801,0,0,1,0,0,1
12,0.988065,-0.0853738,0.128214,0.0204032,-0.906777,0.421117,0,0,1,0,0,1
12.01,0.988065,-0.0853738,0.128214,0.0205983,-0.911982,0.409714,0,0,1,0,0,1
12.02,0.988065,-0.0853738,0.128214,0.0208193,-0.916811,0.398777,0,0,1,0,0,1
12.03,0.988065,-0.0853738,0.128214,0.0209981,-0.921303,0.388277,0,0,1,0,0,1
12.04,0.988065,-0.0853738,0.128214,0.0210827,-0.925448,0.378288,0,0,1,0,0,1
12.05,0.988065,-0.0853738,0.128214,0.0213156,-0.929639,0.367854,0,0,1,0,0,1
12.06,0.988065,-0.0853738,0.128214,0.0216476,-0.933596,0.357672,0,0,1,0,0,1
12.07,0.988065,-0.0853738,0.128214,0.0218551,-0.938021,0.345888,0,0,1,0,0,1
12.08,0.988065,-0.0853738,0.128214,0.022244,-0.942236,0.334209,0,0,1,0,0,1
12.09,0.988065,-0.0853738,0.128214,0.022658,-0.946245,0.322655,0,0,1,0,0,1
12.1,0.988065,-0.0853738,0.128214,0.0229453,-0.949955,0.311544,0,0,1,0,0,1
12.11,0.988065,-0.0853738,0.128214,0.0232151,-0.953545,0.300354,0,0,1,0,0,1
12.12,0.988065,-0.0853738,0.128214,0.0235388,-0.956748,0.289963,0,0,1,0,0,1
12.13,0.988065,-0.0853738,0.128214,0.0239499,-0.959919,0.279251,0,0,1,0,0,1
