time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z
0.207,0.00101599,-0.169378,0.985551,0,0,1,0,0,1
0.208,0.00103501,-0.170038,0.985437,0,0,1,0,0,1
0.209,0.00105658,-0.170707,0.985321,0,0,1,0,0,1
0.21,0.00107864,-0.171387,0.985203,0,0,1,0,0,1
0.211,0.00110172,-0.172064,0.985085,0,0,1,0,0,1
0.212,0.00112308,-0.172742,0.984966,0,0,1,0,0,1
0.213,0.00114591,-0.173419,0.984848,0,0,1,0,0,1
0.214,0.0011704,-0.174089,0.984729,0,0,1,0,0,1
0.215,0.00119496,-0.17477,0.984609,0,0,1,0,0,1
0.216,0.00122181,-0.17545,0.984488,0,0,1,0,0,1
0.217,0.00124876,-0.176137,0.984365,0,0,1,0,0,1
0.218,0.00127762,-0.176813,0.984244,0,0,1,0,0,1
0.219,0.0013059,-0.177461,0.984127,0,0,1,0,0,1
0.22,0.00133249,-0.178088,0.984014,0,0,1,0,0,1
0.221,0.00135772,-0.178703,0.983902,0,0,1,0,0,1
0.222,0.00137824,-0.179303,0.983793,0,0,1,0,0,1
0.223,0.00139644,-0.179919,0.983681,0,0,1,0,0,1
0.224,0.00141841,-0.180545,0.983566,0,0,1,0,0,1
0.225,0.00143953,-0.181161,0.983452,0,0,1,0,0,1
0.226,0.00146072,-0.181774,0.983339,0,0,1,0,0,1
0.227,0.00148235,-0.182375,0.983228,0,0,1,0,0,1
0.228,0.00150287,-0.182974,0.983117,0,0,1,0,0,1
0.229,0.00152303,-0.183561,0.983007,0,0,1,0,0,1
0.23,0.00154269,-0.18414,0.982899,0,0,1,0,0,1
0.231,0.0015631,-0.184711,0.982792,0,0,1,0,0,1
0.232,0.00158315,-0.185268,0.982687,0,0,1,0,0,1
0.233,0.00160205,-0.18583,0.982581,0,0,1,0,0,1
0.234,0.00162055,-0.18639,0.982475,0,0,1,0,0,1
0.235,0.00163907,-0.186935,0.982371,0,0,1,0,0,1
0.236,0.00165862,-0.187506,0.982262,0,0,1,0,0,1
0.237,0.00167608,-0.188071,0.982154,0,0,1,0,0,1
0.238,0.00169495,-0.188635,0.982046,0,0,1,0,0,1
0.239,0.00171283,-0.189207,0.981936,0,0,1,0,0,1
0.24,0.00173168,-0.189776,0.981826,0,0,1,0,0,1
0.241,0.0017486,-0.190344,0.981716,0,0,1,0,0,1
0.242,0.00176519,-0.19091,0.981606,0,0,1,0,0,1
0.243,0.00178075,-0.191494,0.981492,0,0,1,0,0,1
0.244,0.0017931,-0.192078,0.981378,0,0,1,0,0,1
0.245,0.00180421,-0.192676,0.981261,0,0,1,0,0,1
0.246,0.00181989,-0.193277,0.981143,0,0,1,0,0,1
0.247,0.00183434,-0.193875,0.981024,0,0,1,0,0,1
0.248,0.00184714,-0.194468,0.980907,0,0,1,0,0,1
0.249,0.00186193,-0.195063,0.980789,0,0,1,0,0,1
0.25,0.00187543,-0.195661,0.98067,0,0,1,0,0,1
0.251,0.00188966,-0.196264,0.980549,0,0,1,0,0,1
0.252,0.0019064,-0.196868,0.980428,0,0,1,0,0,1
0.253,0.00191965,-0.197466,0.980308,0,0,1,0,0,1
0.254,0.00193106,-0.198072,0.980186,0,0,1,0,0,1
0.255,0.00194107,-0.198681,0.980062,0,0,1,0,0,1
0.256,0.00194725,-0.199289,0.979939,0,0,1,0,0,1
0.257,0.00195067,-0.199894,0.979816,0,0,1,0,0,1
0.258,0.0019536,-0.200481,0.979696,0,0,1,0,0,1
0.259,0.00195997,-0.201053,0.979578,0,0,1,0,0,1
0.26,0.00196621,-0.201621,0.979462,0,0,1,0,0,1
0.261,0.00197141,-0.202194,0.979344,0,0,1,0,0,1
0.262,0.00197409,-0.202761,0.979226,0,0,1,0,0,1
0.263,0.00197699,-0.203328,0.979109,0,0,1,0,0,1
0.264,0.00197996,-0.203891,0.978992,0,0,1,0,0,1
0.265,0.00198315,-0.20445,0.978875,0,0,1,0,0,1
0.266,0.00198889,-0.205029,0.978754,0,0,1,0,0,1
0.267,0.00199204,-0.205609,0.978632,0,0,1,0,0,1
0.268,0.00199538,-0.206191,0.97851,0,0,1,0,0,1
0.269,0.0019983,-0.206769,0.978388,0,0,1,0,0,1
0.27,0.00200057,-0.20735,0.978265,0,0,1,0,0,1
0.271,0.00200063,-0.207914,0.978145,0,0,1,0,0,1
0.272,0.00200049,-0.208483,0.978024,0,0,1,0,0,1
0.273,0.00200364,-0.209039,0.977905,0,0,1,0,0,1
0.274,0.00200398,-0.209585,0.977788,0,0,1,0,0,1
0.275,0.00200351,-0.210133,0.977671,0,0,1,0,0,1
0.276,0.00200136,-0.210688,0.977551,0,0,1,0,0,1
0.277,0.00200049,-0.211249,0.97743,0,0,1,0,0,1
0.278,0.00200382,-0.211818,0.977307,0,0,1,0,0,1
0.279,0.00200771,-0.212379,0.977185,0,0,1,0,0,1
0.28,0.00201029,-0.212937,0.977064,0,0,1,0,0,1
0.281,0.00201123,-0.213505,0.97694,0,0,1,0,0,1
0.282,0.00201056,-0.21406,0.976819,0,0,1,0,0,1
0.283,0.00200745,-0.214616,0.976697,0,0,1,0,0,1
0.284,0.00200345,-0.215158,0.976577,0,0,1,0,0,1
0.285,0.00200151,-0.215701,0.976458,0,0,1,0,0,1
0.286,0.00199603,-0.216239,0.976338,0,0,1,0,0,1
0.287,0.00198843,-0.216784,0.976218,0,0,1,0,0,1
0.288,0.00197977,-0.217312,0.9761,0,0,1,0,0,1
0.289,0.00197018,-0.21783,0.975985,0,0,1,0,0,1
0.29,0.00196399,-0.218359,0.975867,0,0,1,0,0,1
0.291,0.00195721,-0.218886,0.975749,0,0,1,0,0,1
0.292,0.00194942,-0.219408,0.975631,0,0,1,0,0,1
0.293,0.0019423,-0.219919,0.975516,0,0,1,0,0,1
0.294,0.00193711,-0.220431,0.975401,0,0,1,0,0,1
0.295,0.00193304,-0.220943,0.975285,0,0,1,0,0,1
0.296,0.00192858,-0.221456,0.975169,0,0,1,0,0,1
0.297,0.0019224,-0.221981,0.975049,0,0,1,0,0,1
0.298,0.00191766,-0.222496,0.974932,0,0,1,0,0,1
0.299,0.0019162,-0.223018,0.974812,0,0,1,0,0,1
0.3,0.00191226,-0.223531,0.974695,0,0,1,0,0,1
0.301,0.00190636,-0.224037,0.974579,0,0,1,0,0,1
0.302,0.00190059,-0.224534,0.974464,0,0,1,0,0,1
0.303,0.00189265,-0.225039,0.974348,0,0,1,0,0,1
0.304,0.00188312,-0.225536,0.974233,0,0,1,0,0,1
0.305,0.00187568,-0.226032,0.974118,0,0,1,0,0,1
0.306,0.00187402,-0.226527,0.974003,0,0,1,0,0,1
0.307,0.00186798,-0.22702,0.973888,0,0,1,0,0,1
0.308,0.00185978,-0.227513,0.973773,0,0,1,0,0,1
0.309,0.00185359,-0.228,0.973659,0,0,1,0,0,1
0.31,0.00184699,-0.2285,0.973542,0,0,1,0,0,1
0.311,0.00184205,-0.22899,0.973427,0,0,1,0,0,1
0.312,0.0018362,-0.229482,0.973311,0,0,1,0,0,1
0.313,0.0018313,-0.229985,0.973192,0,0,1,0,0,1
0.314,0.00182688,-0.230507,0.973069,0,0,1,0,0,1
0.315,0.0018214,-0.231033,0.972944,0,0,1,0,0,1
0.316,0.00181831,-0.231563,0.972818,0,0,1,0,0,1
0.317,0.00181549,-0.23211,0.972688,0,0,1,0,0,1
0.318,0.00180953,-0.232656,0.972558,0,0,1,0,0,1
0.319,0.00180031,-0.233211,0.972425,0,0,1,0,0,1
0.32,0.00179369,-0.233768,0.972291,0,0,1,0,0,1
0.321,0.00178865,-0.234323,0.972157,0,0,1,0,0,1
0.322,0.00178416,-0.234872,0.972025,0,0,1,0,0,1
0.323,0.00178088,-0.235426,0.971891,0,0,1,0,0,1
0.324,0.00177635,-0.235982,0.971756,0,0,1,0,0,1
0.325,0.00176918,-0.23653,0.971623,0,0,1,0,0,1
0.326,0.00176227,-0.237063,0.971493,0,0,1,0,0,1
0.327,0.00175439,-0.237596,0.971363,0,0,1,0,0,1
0.328,0.00174686,-0.238131,0.971231,0,0,1,0,0,1
0.329,0.00173814,-0.23866,0.971102,0,0,1,0,0,1
0.33,0.00172871,-0.239189,0.970971,0,0,1,0,0,1
0.331,0.00171611,-0.239729,0.970838,0,0,1,0,0,1
0.332,0.00170227,-0.240269,0.970705,0,0,1,0,0,1
0.333,0.00168883,-0.240796,0.970574,0,0,1,0,0,1
0.334,0.00167509,-0.241311,0.970446,0,0,1,0,0,1
0.335,0.00166423,-0.241836,0.970316,0,0,1,0,0,1
0.336,0.00165447,-0.242365,0.970184,0,0,1,0,0,1
0.337,0.00164655,-0.242896,0.970051,0,0,1,0,0,1
0.338,0.00163827,-0.24344,0.969914,0,0,1,0,0,1
0.339,0.0016285,-0.243983,0.969778,0,0,1,0,0,1
0.34,0.00162298,-0.244514,0.969645,0,0,1,0,0,1
0.341,0.00161991,-0.245038,0.969512,0,0,1,0,0,1
0.342,0.00162087,-0.245572,0.969377,0,0,1,0,0,1
0.343,0.00161843,-0.246105,0.969242,0,0,1,0,0,1
0.344,0.00161648,-0.246625,0.96911,0,0,1,0,0,1
0.345,0.00161565,-0.247151,0.968976,0,0,1,0,0,1
0.346,0.00161283,-0.247672,0.968843,0,0,1,0,0,1
0.347,0.00161349,-0.248181,0.968712,0,0,1,0,0,1
0.348,0.00161424,-0.248682,0.968584,0,0,1,0,0,1
0.349,0.00161464,-0.249181,0.968456,0,0,1,0,0,1
0.35,0.00161295,-0.249683,0.968326,0,0,1,0,0,1
0.351,0.00161307,-0.250175,0.968199,0,0,1,0,0,1
0.352,0.00161175,-0.250686,0.968067,0,0,1,0,0,1
0.353,0.00161161,-0.251193,0.967936,0,0,1,0,0,1
0.354,0.00161484,-0.251696,0.967805,0,0,1,0,0,1
0.355,0.0016207,-0.252196,0.967675,0,0,1,0,0,1
0.356,0.00162987,-0.252699,0.967543,0,0,1,0,0,1
0.357,0.00163954,-0.253187,0.967416,0,0,1,0,0,1
0.358,0.00165191,-0.253663,0.967291,0,0,1,0,0,1
0.359,0.00166768,-0.254132,0.967168,0,0,1,0,0,1
0.36,0.00168245,-0.254596,0.967046,0,0,1,0,0,1
0.361,0.0016966,-0.255056,0.966925,0,0,1,0,0,1
0.362,0.00171517,-0.255503,0.966807,0,0,1,0,0,1
0.363,0.00173432,-0.255941,0.966691,0,0,1,0,0,1
0.364,0.00175385,-0.256393,0.966571,0,0,1,0,0,1
0.365,0.001777,-0.256844,0.966451,0,0,1,0,0,1
0.366,0.00180068,-0.257296,0.966331,0,0,1,0,0,1
0.367,0.00182804,-0.257742,0.966212,0,0,1,0,0,1
0.368,0.00185487,-0.258171,0.966097,0,0,1,0,0,1
0.369,0.00187788,-0.25861,0.96598,0,0,1,0,0,1
0.37,0.0019014,-0.25906,0.965859,0,0,1,0,0,1
0.371,0.00192671,-0.259521,0.965736,0,0,1,0,0,1
0.372,0.00195472,-0.259991,0.965609,0,0,1,0,0,1
0.373,0.00198038,-0.260463,0.965482,0,0,1,0,0,1
0.374,0.00200431,-0.260936,0.965354,0,0,1,0,0,1
0.375,0.00202841,-0.261389,0.965232,0,0,1,0,0,1
0.376,0.00204545,-0.261838,0.96511,0,0,1,0,0,1
0.377,0.0020628,-0.262281,0.964989,0,0,1,0,0,1
0.378,0.0020779,-0.26273,0.964867,0,0,1,0,0,1
0.379,0.00209513,-0.263185,0.964743,0,0,1,0,0,1
