time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z,q5_x,q5_y,q5_z,q6_x,q6_y,q6_z,q7_x,q7_y,q7_z,q8_x,q8_y,q8_z,q9_x,q9_y,q9_z
9.95,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.00429582,-0.50809,0.861293,0,0,1,0,0,1,0,0,1
10.05,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.00506968,-0.588903,0.808188,0,0,1,0,0,1,0,0,1
10.15,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0053832,-0.666388,0.745586,0,0,1,0,0,1,0,0,1
10.25,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.00719991,-0.739033,0.673631,0,0,1,0,0,1,0,0,1
10.35,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.00878751,-0.804306,0.59415,0,0,1,0,0,1,0,0,1
10.45,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0119568,-0.860859,0.508704,0,0,1,0,0,1,0,0,1
10.55,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0136576,-0.908602,0.417439,0,0,1,0,0,1,0,0,1
10.65,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0153999,-0.946143,0.323383,0,0,1,0,0,1,0,0,1
10.75,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0181583,-0.973619,0.227457,0,0,1,0,0,1,0,0,1
10.85,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0213659,-0.99131,0.129796,0,0,1,0,0,1,0,0,1
10.95,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0230856,-0.999271,0.0303944,0,0,1,0,0,1,0,0,1
11.05,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0206186,-0.997445,-0.068393,0,0,1,0,0,1,0,0,1
