time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z,q5_x,q5_y,q5_z,q6_x,q6_y,q6_z,q7_x,q7_y,q7_z,q8_x,q8_y,q8_z,q9_x,q9_y,q9_z
46.82,0.996924,-0.0550504,-0.0557909,0.997895,-0.0422971,-0.0491628,0.994245,-0.101962,-0.0328849,0.997895,-0.0422971,-0.0491628,0.980575,0.0461544,0.190638,0.997895,-0.0422971,-0.0491628,0.950249,0.0782062,-0.301514,0.997895,-0.0422971,-0.0491628,0.995062,-0.0376637,0.0918349,0.0189109,0.0692508,0.99742
47.81,0.996924,-0.0550504,-0.0557909,0.997895,-0.0422971,-0.0491628,0.994245,-0.101962,-0.0328849,0.997895,-0.0422971,-0.0491628,0.980575,0.0461544,0.190638,0.997895,-0.0422971,-0.0491628,0.950249,0.0782062,-0.301514,0.997895,-0.0422971,-0.0491628,0.995062,-0.0376637,0.0918349,0.679338,0.0743743,0.730046
48.8,0.99704,-0.0444287,-0.062743,0.997983,-0.0327139,-0.0544125,0.994477,-0.0940664,-0.0465547,0.997983,-0.0327139,-0.0544125,0.9805,0.0216351,0.195324,0.997983,-0.0327139,-0.0544125,0.950002,0.121462,-0.287651,0.997983,-0.0327139,-0.0544125,0.995166,-0.047658,0.0858678,0.991863,0.121603,-0.037687
49.8,0.996467,0.0570465,-0.0616452,0.997261,0.0568965,-0.0472622,0.995523,0.0154188,-0.0932485,0.997261,0.0568965,-0.0472622,0.98318,-0.11793,0.13946,0.997261,0.0568965,-0.0472622,0.940744,0.334807,-0.0539013,0.997261,0.0568965,-0.0472622,0.997548,-0.066966,0.0203235,0.987406,0.130778,0.0890287
50.8,0.990504,0.131483,0.0401659,0.991701,0.119338,0.0478209,0.990687,0.135632,-0.0119424,0.991701,0.119338,0.0478209,0.991177,-0.132542,0.00109009,0.991701,0.119338,0.0478209,0.92176,0.271682,0.27667,0.991701,0.119338,0.0478209,0.999793,-0.00416442,-0.0199392,0.982078,0.0439211,0.183284
51.8,0.984365,0.0800436,0.156903,0.986254,0.0670243,0.151033,0.983289,0.12578,0.131614,0.986254,0.0670243,0.151033,0.995866,-0.0327208,-0.0847347,0.986254,0.0670243,0.151033,0.914407,-0.0428011,0.402526,0.986254,0.0670243,0.151033,0.998379,0.0558543,0.0108974,0.982763,-0.087841,0.162666
52.79,0.66932,0.0523629,-0.741127,0.665002,0.0394382,-0.745799,0.649006,0.0986755,-0.754357,0.665002,0.0394382,-0.745799,0.46926,-0.0551262,-0.881337,0.665002,0.0394382,-0.745799,0.833315,-0.0742869,-0.547784,0.665002,0.0394382,-0.745799,0.553701,0.0311639,-0.832132,0.667847,-0.11552,-0.735279
53.78,0.139411,0.430624,-0.891699,0.132256,0.0443579,-0.990223,0.113436,0.103347,-0.988156,0.132256,0.0443579,-0.990223,-0.104556,-0.0533133,-0.993089,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
54.78,0.159043,0.976325,-0.146608,0.132256,0.0443579,-0.990223,0.113436,0.103347,-0.988156,0.132256,0.0443579,-0.990223,-0.104556,-0.0533133,-0.993089,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
55.78,0.11647,0.669597,0.733536,0.132256,0.0443579,-0.990223,0.113436,0.103347,-0.988156,0.132256,0.0443579,-0.990223,-0.104556,-0.0533133,-0.993089,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
56.77,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.116614,0.361805,-0.924931,0.132256,0.0443579,-0.990223,-0.104556,-0.0533133,-0.993089,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
57.77,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.11658,0.970528,-0.210916,0.132256,0.0443579,-0.990223,-0.104556,-0.0533133,-0.993089,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
58.77,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0835524,0.714135,0.695004,0.132256,0.0443579,-0.990223,-0.104556,-0.0533133,-0.993089,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
59.76,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.104573,0.0520234,-0.993156,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
60.76,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.128333,0.85895,-0.495717,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
