time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z
0.46,0.00378861,-0.438562,0.898693,0.00378861,-0.438562,0.898693,0.00378861,-0.438562,0.898693,0.00378861,-0.438562,0.898693,0.00378861,-0.438562,0.898693
0.47,0.00415746,-0.44701,0.894519,0.00415746,-0.44701,0.894519,0.00415746,-0.44701,0.894519,0.00415746,-0.44701,0.894519,0.00415746,-0.44701,0.894519
0.48,0.00454505,-0.455383,0.890284,0.00454505,-0.455383,0.890284,0.00454505,-0.455383,0.890284,0.00454505,-0.455383,0.890284,0.00454505,-0.455383,0.890284
0.49,0.00496787,-0.463658,0.886,0.00496787,-0.463658,0.886,0.00496787,-0.463658,0.886,0.00496787,-0.463658,0.886,0.00496787,-0.463658,0.886
0.5,0.00539365,-0.471894,0.881639,0.00539365,-0.471894,0.881639,0.00539365,-0.471894,0.881639,0.00539365,-0.471894,0.881639,0.00539365,-0.471894,0.881639
0.51,0.00577371,-0.48021,0.877134,0.00577371,-0.48021,0.877134,0.00577371,-0.48021,0.877134,0.00577371,-0.48021,0.877134,0.00577371,-0.48021,0.877134
0.52,0.00617168,-0.488541,0.872519,0.00617168,-0.488541,0.872519,0.00617168,-0.488541,0.872519,0.00617168,-0.488541,0.872519,0.00617168,-0.488541,0.872519
0.53,0.00654067,-0.496968,0.867744,0.00654067,-0.496968,0.867744,0.00654067,-0.496968,0.867744,0.00654067,-0.496968,0.867744,0.00654067,-0.496968,0.867744
0.54,0.00695888,-0.50524,0.862951,0.00695888,-0.50524,0.862951,0.00695888,-0.50524,0.862951,0.00695888,-0.50524,0.862951,0.00695888,-0.50524,0.862951
0.55,0.00735248,-0.51362,0.857987,0.00735248,-0.51362,0.857987,0.00735248,-0.51362,0.857987,0.00735248,-0.51362,0.857987,0.00735248,-0.51362,0.857987
0.56,0.00767669,-0.521912,0.852965,0.00767669,-0.521912,0.852965,0.00767669,-0.521912,0.852965,0.00767669,-0.521912,0.852965,0.00767669,-0.521912,0.852965
0.57,0.00808598,-0.530044,0.847931,0.00808598,-0.530044,0.847931,0.00808598,-0.530044,0.847931,0.00808598,-0.530044,0.847931,0.00808598,-0.530044,0.847931
0.58,0.00849218,-0.538315,0.842701,0.00849218,-0.538315,0.842701,0.00849218,-0.538315,0.842701,0.00849218,-0.538315,0.842701,0.00849218,-0.538315,0.842701
0.59,0.00892156,-0.54655,0.837379,0.00892156,-0.54655,0.837379,0.00892156,-0.54655,0.837379,0.00892156,-0.54655,0.837379,0.00892156,-0.54655,0.837379
0.6,0.00933128,-0.554681,0.832011,0.00933128,-0.554681,0.832011,0.00933128,-0.554681,0.832011,0.00933128,-0.554681,0.832011,0.00933128,-0.554681,0.832011
