time,x,y,z,microwave_val
0.248,-0.00354627,-0.245539,0.969821,-0.789015
0.249,-0.00286402,-0.246517,0.969575,-0.795119
0.25,-0.00342456,-0.24748,0.969328,-0.801144
0.251,-0.00352711,-0.248448,0.969081,-0.807088
0.252,-0.00432642,-0.249405,0.968835,-0.812952
0.253,-0.00509102,-0.250364,0.968602,-0.818735
0.254,-0.00571642,-0.251319,0.968353,-0.824435
0.255,-0.00508025,-0.252303,0.968108,-0.830054
0.256,-0.00520827,-0.253268,0.967856,-0.835589
0.257,-0.00494542,-0.254242,0.967604,-0.84104
0.258,-0.00395918,-0.255226,0.96735,-0.846408
0.259,-0.0043631,-0.256187,0.967094,-0.851691
0.26,-0.00351554,-0.257167,0.966838,-0.856889
0.261,-0.0038622,-0.258131,0.966587,-0.862001
0.262,-0.00412754,-0.259094,0.96633,-0.867027
0.263,-0.00453204,-0.260054,0.966075,-0.871966
0.264,-0.00470051,-0.261017,0.965815,-0.876818
0.265,-0.00524841,-0.261974,0.965557,-0.881582
0.266,-0.00532589,-0.262938,0.965297,-0.886258
0.267,-0.00492609,-0.263911,0.965034,-0.890846
0.268,-0.0051107,-0.264873,0.964771,-0.895344
0.269,-0.00607455,-0.26582,0.964517,-0.899753
0.27,-0.00634529,-0.266779,0.964252,-0.904072
0.271,-0.00557224,-0.26776,0.963983,-0.908301
0.272,-0.00540714,-0.268726,0.963713,-0.912438
0.273,-0.00642923,-0.269668,0.963447,-0.916485
0.274,-0.00685955,-0.270622,0.96318,-0.92044
0.275,-0.00782795,-0.271559,0.962909,-0.924302
0.276,-0.00740426,-0.272534,0.962639,-0.928073
0.277,-0.00778426,-0.273486,0.962366,-0.93175
0.278,-0.00844865,-0.274429,0.962092,-0.935335
0.279,-0.00849424,-0.275389,0.961818,-0.938825
0.28,-0.00880292,-0.276341,0.961542,-0.942222
0.281,-0.0092693,-0.277288,0.961266,-0.945525
0.282,-0.00855455,-0.278272,0.960989,-0.948733
0.283,-0.00834337,-0.27924,0.960711,-0.951847
0.284,-0.00906358,-0.280179,0.960435,-0.954865
0.285,-0.00997849,-0.281108,0.960155,-0.957787
0.286,-0.00921555,-0.282095,0.959877,-0.960614
0.287,-0.00971003,-0.283041,0.959604,-0.963345
0.288,-0.00911092,-0.284021,0.959322,-0.965979
0.289,-0.00941374,-0.284971,0.959039,-0.968517
0.29,-0.00888684,-0.285948,0.958757,-0.970958
0.291,-0.00817792,-0.286928,0.958472,-0.973302
